scheme,label,n_features,n_subcategories,G_total,G_within_lcz,G_within_sub,reduction_pp,reduction_rel_pct,G_between_lcz,G_between_sub
A,UMPs only,8,39,0.05576472393508003,86.40147287847127,85.37179536375672,1.0296775147145496,1.1917360670029913,37.41174142999853,39.87210088577309
B,Topology only,5,19,0.05576472393508003,86.40147287847127,86.18741526667314,0.21405761179812544,0.24774764210236325,37.41174142999853,37.798046846202624
C,UMPs + Topology,13,32,0.05576472393508003,86.40147287847127,85.5105554164062,0.8909174620650617,1.0311368919812158,37.41174142999853,39.608268277125504
D,Population only,3,22,0.05576472393508003,86.40147287847127,82.08834827975528,4.313124598715987,4.991957260708564,37.41174142999853,43.08917591144082
E,Geography only,3,35,0.05576472393508003,86.40147287847127,75.5926325469584,10.808840331512869,12.510018604331128,37.41174142999853,49.632720025244176
F,UMPs+Topo+Pop+Geo,19,24,0.05576472393508003,86.40147287847127,85.80578427240432,0.5956886060669433,0.6894426521001722,37.41174142999853,38.56665509513099
