global_id,lcz_id,lcz_name,subcategory,n_grids,bsf_mean,mbh_mean,sbh_mean,svf_mean,psf_mean,bv_mean,silhouette
0,1,Compact high-rise,1A,1257,0.04215133190155029,3.905508041381836,0.3950931429862976,0.978934645652771,0.4578486979007721,4955.556640625,0.5682404041290283
1,1,Compact high-rise,1B,304,0.17550016939640045,117.5770492553711,9.716662406921387,0.8364236354827881,0.32449984550476074,207252.109375,0.5682404041290283
2,1,Compact high-rise,1C,463,0.5121682286262512,14.575551986694336,4.355724334716797,0.7278841733932495,0.09016167372465134,73251.9375,0.5682404041290283
3,1,Compact high-rise,1D,100,0.7797607183456421,80.68196105957031,56.069618225097656,0.320171058177948,0.019719138741493225,495657.8125,0.5682404041290283
4,1,Compact high-rise,1E,2,1.0,286.42498779296875,136.02499389648438,0.022672563791275024,0.0,4213475.0,0.5682404041290283
5,2,Compact mid-rise,2A,9489,0.0023145878221839666,0.43733102083206177,0.008839497342705727,0.9989132285118103,0.5476855039596558,214.42494201660156,0.8145465850830078
6,2,Compact mid-rise,2B,223,0.12940576672554016,104.00457763671875,1.1157180070877075,0.8796956539154053,0.4205942153930664,129160.5703125,0.8145465850830078
7,2,Compact mid-rise,2C,1867,0.2159816473722458,11.166221618652344,0.7414137721061707,0.8936758637428284,0.33401837944984436,22826.904296875,0.8145465850830078
8,2,Compact mid-rise,2D,126,0.4564207196235657,51.023887634277344,37.440773010253906,0.6243310570716858,0.19505076110363007,179766.28125,0.8145465850830078
9,2,Compact mid-rise,2E,536,0.6070326566696167,10.63211727142334,1.4831581115722656,0.6990283727645874,0.044653505086898804,66104.515625,0.8145465850830078
10,3,Compact low-rise,3A,6217,0.0015297441277652979,0.337852418422699,0.0023577986285090446,0.9993021488189697,0.5984702110290527,133.87124633789062,0.895922839641571
11,3,Compact low-rise,3B,18,0.09901734441518784,117.58333587646484,2.292863368988037,0.9064418077468872,0.5009826421737671,117981.9296875,0.895922839641571
12,3,Compact low-rise,3C,617,0.2087186723947525,9.063946723937988,0.18984460830688477,0.9048709273338318,0.3912813365459442,18563.439453125,0.895922839641571
13,3,Compact low-rise,3D,7,0.21333704888820648,59.335716247558594,45.29600143432617,0.8116530776023865,0.38666296005249023,137460.828125,0.895922839641571
14,3,Compact low-rise,3E,195,0.5607349872589111,9.672435760498047,0.5083703994750977,0.7338322401046753,0.09262093901634216,58260.7265625,0.895922839641571
15,4,Open high-rise,4A,11370,0.007262593135237694,1.424359917640686,0.024481793865561485,0.9965106844902039,0.6927372813224792,739.6959838867188,0.6510461568832397
16,4,Open high-rise,4B,1411,0.13583210110664368,94.89189910888672,1.1868290901184082,0.8744783401489258,0.5641679167747498,127040.875,0.6510461568832397
17,4,Open high-rise,4C,5391,0.21950067579746246,13.448538780212402,1.1156005859375,0.8850869536399841,0.480499267578125,27332.02734375,0.6510461568832397
18,4,Open high-rise,4D,701,0.29674944281578064,57.867271423339844,41.23880386352539,0.7404662370681763,0.40747183561325073,165495.765625,0.6510461568832397
19,4,Open high-rise,4E,712,0.7718079686164856,17.9923095703125,6.411068439483643,0.5578435659408569,0.04998952895402908,121600.7109375,0.6510461568832397
20,5,Open mid-rise,5A,6086,0.003347646677866578,0.5997881889343262,0.007572676986455917,0.9984459280967712,0.6966521739959717,302.9417419433594,0.8230445384979248
21,5,Open mid-rise,5B,104,0.1384699046611786,89.15929412841797,0.6625128388404846,0.8728914856910706,0.5615301132202148,116921.734375,0.8230445384979248
22,5,Open mid-rise,5C,1160,0.22034209966659546,11.76901912689209,0.7371332049369812,0.8888780474662781,0.479657918214798,24539.650390625,0.8230445384979248
23,5,Open mid-rise,5D,42,0.37015920877456665,51.14939498901367,36.80284881591797,0.6823342442512512,0.3487548828125,158699.03125,0.8230445384979248
24,5,Open mid-rise,5E,196,0.670123815536499,10.804635047912598,0.9387767314910889,0.6693737506866455,0.09588097780942917,71943.890625,0.8230445384979248
25,6,Open low-rise,6A,70368,0.006179698742926121,0.6282702088356018,0.006046035792678595,0.9971011877059937,0.743820309638977,573.1246948242188,0.9393994212150574
26,6,Open low-rise,6B,1771,0.43067359924316406,20.823589324951172,2.0654423236846924,0.780509352684021,0.3470192551612854,66578.65625,0.9393994212150574
27,8,Large low-rise,8A,74504,0.004652799107134342,0.5632493495941162,0.0030261671636253595,0.9978188872337341,0.5453472137451172,430.16729736328125,0.8688167929649353
28,8,Large low-rise,8B,1155,0.11827707290649414,105.70891571044922,0.9363355040550232,0.889421820640564,0.4317680895328522,127306.765625,0.8688167929649353
29,8,Large low-rise,8C,8640,0.3056335747241974,9.955665588378906,0.20432902872562408,0.8548747897148132,0.24780793488025665,29255.982421875,0.8688167929649353
30,8,Large low-rise,8D,378,0.3613351583480835,60.0096321105957,43.706581115722656,0.6809133887290955,0.2435787171125412,166700.765625,0.8688167929649353
31,8,Large low-rise,8E,2051,0.882958173751831,10.18124008178711,0.3037903904914856,0.5755239725112915,0.0013705925084650517,139033.25,0.8688167929649353
32,9,Sparsely built,9A,12015,0.000778710818849504,0.1086142286658287,0.00020386932010296732,0.9996368288993835,0.8992211818695068,70.03619384765625,0.9953558444976807
33,9,Sparsely built,9B,21,0.532090425491333,15.561223983764648,0.764001727104187,0.7476860880851746,0.38347434997558594,58017.44140625,0.9953558444976807
34,10,Heavy industry,10A,2042,0.023304196074604988,2.4778330326080322,0.23478753864765167,0.98786461353302,0.47669580578804016,3103.612060546875,0.7238151431083679
35,10,Heavy industry,10B,201,0.1717497855424881,127.01448059082031,2.282611846923828,0.8380195498466492,0.3282502591609955,231680.5625,0.7238151431083679
36,10,Heavy industry,10C,420,0.5110176205635071,13.048304557800293,2.529906749725342,0.7319480776786804,0.09194032847881317,68326.4453125,0.7238151431083679
37,10,Heavy industry,10D,66,0.6269593834877014,72.28611755371094,58.16718673706055,0.441997230052948,0.07538902759552002,359784.84375,0.7238151431083679
38,10,Heavy industry,10E,5,0.8841283917427063,123.8614273071289,17.98189926147461,0.25437131524086,0.015871619805693626,2767166.5,0.7238151431083679
