metric,level,G_total,G_between,G_within,G_overlap,between_share,within_share
utci_mean,LCZ_class,0.009503949794744115,0.003599163645023218,0.008179811428001364,-0.0022750252782804663,0.3787018789823186,0.860674940909828
utci_mean,LCZ_subcategory,0.009503949794744115,0.003829466561877992,0.00808288515894738,-0.002408401926081256,0.4029342162556212,0.8504764159652216
tsd_strong,LCZ_class,0.04558959683481445,0.016187683971018108,0.04026862479460276,-0.01086671193080642,0.3550740759930651,0.8832853894389271
tsd_strong,LCZ_subcategory,0.04558959683481445,0.017419030183488893,0.03981804720927886,-0.011647480557953303,0.38208344431304264,0.8734020472598663
hdh,LCZ_class,0.0557647239350787,0.020862554327744642,0.048181542826521,-0.013279373219186943,0.37411741429999423,0.8640147287847055
hdh,LCZ_subcategory,0.0557647239350787,0.02223456698606796,0.047607346003020086,-0.01407718905400935,0.39872100885774037,0.8537179536375822
