city,city_name,month,season,utci_mean,scheme,reduction_pp,G_total,G_within_lcz,G_within_sub,n_cells
shenzhen,Shenzhen,01,Winter,13.396307,Coast only,3.426959905057558,0.330862227295898,89.87691220292085,86.44995229786329,144505
shenzhen,Shenzhen,01,Winter,13.396307,Mountain only,2.645803567491811,0.330862227295898,89.87691220292085,87.23110863542904,144505
shenzhen,Shenzhen,01,Winter,13.396307,Coast+Mountain,6.106179211694723,0.330862227295898,89.87691220292085,83.77073299122613,144505
shenzhen,Shenzhen,04,Spring,20.282434,Coast only,3.5585882463309844,0.2509553558462706,90.55624788567152,86.99765963934054,144505
shenzhen,Shenzhen,04,Spring,20.282434,Mountain only,4.701446643179281,0.2509553558462706,90.55624788567152,85.85480124249224,144505
shenzhen,Shenzhen,04,Spring,20.282434,Coast+Mountain,8.056177443737994,0.2509553558462706,90.55624788567152,82.50007044193353,144505
shenzhen,Shenzhen,07,Summer,31.04131,Coast only,3.538339751324969,0.0551588677198061,92.10437885177672,88.56603910045176,144505
shenzhen,Shenzhen,07,Summer,31.04131,Mountain only,8.626666558160196,0.0551588677198061,92.10437885177672,83.47771229361653,144505
shenzhen,Shenzhen,07,Summer,31.04131,Coast+Mountain,11.312662249123449,0.0551588677198061,92.10437885177672,80.79171660265328,144505
shenzhen,Shenzhen,10,Autumn,22.14724,Coast only,3.553977942567613,0.1206313021967112,90.76072259386682,87.2067446512992,144505
shenzhen,Shenzhen,10,Autumn,22.14724,Mountain only,5.207967694000558,0.1206313021967112,90.76072259386682,85.55275489986626,144505
shenzhen,Shenzhen,10,Autumn,22.14724,Coast+Mountain,8.47145418678592,0.1206313021967112,90.76072259386682,82.2892684070809,144505
guangzhou,Guangzhou,01,Winter,14.433873176574707,Coast only,1.5155870662931363,0.14498694724943295,97.57140855846387,96.05582149217074,614834
guangzhou,Guangzhou,01,Winter,14.433873176574707,Mountain only,1.3249086459474597,0.14498694724943295,97.57140855846387,96.24649991251641,614834
guangzhou,Guangzhou,01,Winter,14.433873176574707,Coast+Mountain,1.6692092793488484,0.14498694724943295,97.57140855846387,95.90219927911502,614834
guangzhou,Guangzhou,04,Spring,20.766626358032227,Coast only,1.54774167936516,0.10322875445885638,97.54398100368644,95.99623932432128,614834
guangzhou,Guangzhou,04,Spring,20.766626358032227,Mountain only,1.2914856603366474,0.10322875445885638,97.54398100368644,96.25249534334979,614834
guangzhou,Guangzhou,04,Spring,20.766626358032227,Coast+Mountain,1.739980022024639,0.10322875445885638,97.54398100368644,95.8040009816618,614834
guangzhou,Guangzhou,07,Summer,32.1468505859375,Coast only,2.9164825805325307,0.055247291212600524,97.1685973273836,94.25211474685106,614834
guangzhou,Guangzhou,07,Summer,32.1468505859375,Mountain only,2.1048783590867686,0.055247291212600524,97.1685973273836,95.06371896829683,614834
guangzhou,Guangzhou,07,Summer,32.1468505859375,Coast+Mountain,3.168063078151093,0.055247291212600524,97.1685973273836,94.0005342492325,614834
guangzhou,Guangzhou,10,Autumn,22.230192184448242,Coast only,1.625517137551455,0.09001802973000061,97.74701584155896,96.12149870400751,614834
guangzhou,Guangzhou,10,Autumn,22.230192184448242,Mountain only,1.7994245190063225,0.09001802973000061,97.74701584155896,95.94759132255264,614834
guangzhou,Guangzhou,10,Autumn,22.230192184448242,Coast+Mountain,2.0806475448700184,0.09001802973000061,97.74701584155896,95.66636829668894,614834
dongguan,Dongguan,01,Winter,14.634342193603516,Coast only,2.243461026273323,0.25732920239898094,96.44917489178422,94.2057138655109,236637
dongguan,Dongguan,01,Winter,14.634342193603516,Mountain only,5.147222509765882,0.25732920239898094,96.44917489178422,91.30195238201834,236637
dongguan,Dongguan,01,Winter,14.634342193603516,Coast+Mountain,4.9215999927338885,0.25732920239898094,96.44917489178422,91.52757489905034,236637
dongguan,Dongguan,04,Spring,20.860815048217773,Coast only,2.422898836643185,0.1795504732591101,96.71705892665992,94.29416009001673,236637
dongguan,Dongguan,04,Spring,20.860815048217773,Mountain only,6.433585566903687,0.1795504732591101,96.71705892665992,90.28347335975623,236637
dongguan,Dongguan,04,Spring,20.860815048217773,Coast+Mountain,6.349640363310371,0.1795504732591101,96.71705892665992,90.36741856334955,236637
dongguan,Dongguan,07,Summer,31.786884307861328,Coast only,3.395066992858048,0.06552750895441517,95.73508890083238,92.34002190797433,236637
dongguan,Dongguan,07,Summer,31.786884307861328,Mountain only,6.414128756475861,0.06552750895441517,95.73508890083238,89.32096014435652,236637
dongguan,Dongguan,07,Summer,31.786884307861328,Coast+Mountain,6.870758278757023,0.06552750895441517,95.73508890083238,88.86433062207536,236637
dongguan,Dongguan,10,Autumn,22.65604019165039,Coast only,2.5690484327947303,0.11495578519051453,96.378626708735,93.80957827594027,236637
dongguan,Dongguan,10,Autumn,22.65604019165039,Mountain only,6.25857116990538,0.11495578519051453,96.378626708735,90.12005553882962,236637
dongguan,Dongguan,10,Autumn,22.65604019165039,Coast+Mountain,6.128828204179513,0.11495578519051453,96.378626708735,90.24979850455549,236637
