lcz_id,name,n_cells,r_coast_day,r_coast_night,r_mountain_day,r_mountain_night
1,Compact HR,1910,0.03263917518286519,0.007033875034949233,-0.059655141437360726,0.2691550722370266
2,Compact MR,11977,0.33075089166854954,0.13253575282338304,-0.1745801531158182,-0.275831702131935
3,Compact LR,6232,0.23276038960091228,0.12758820257866432,-0.08267140226790559,-0.1615814170002814
4,Open HR,15742,0.23563665729580618,0.10098485528835743,-0.3020281067041317,-0.26864724357998826
5,Open MR,6124,0.11760979781149672,0.1450082590672288,0.08946809285064461,-0.14420487240593616
6,Open LR,27863,-0.12598592902187666,-0.05181995947823992,-0.09488876259897616,-0.1189436353623523
8,Large LR,70696,0.11720302674884239,0.10116437870365869,-0.2795898433924631,-0.38051116582986166
9,Sparsely B,1960,-0.1275134100202422,-0.05263133512229956,0.03755407446476511,-0.06437613688528643
10,Heavy Ind,2001,0.19845407666645087,-0.12121288558162746,-0.2984109277221023,-0.30818236170770774
