scheme,period,n_subcategories,G_within_lcz,G_within_sub,reduction_pp,G_total
Coast only,day,45,88.40816352725491,84.78393812572857,3.6242254015263455,0.06571172783105783
Coast only,night,45,89.3281793690808,86.71706134510111,2.611118023979685,0.05535672353784682
Mountain only,day,45,88.40816352725491,80.9635358955948,7.444627631660111,0.06571172783105783
Mountain only,night,45,89.3281793690808,80.65315998620835,8.67501938287245,0.05535672353784682
Coast+Mountain,day,45,88.40816352725491,75.99936121126564,12.408802315989277,0.06571172783105783
Coast+Mountain,night,45,89.3281793690808,77.85793521314639,11.47024415593441,0.05535672353784682
