scheme,label,n_subcategories,G_total,G_within_lcz_class,G_within_subcategory,reduction_pp,reduction_relative_pct,G_between_lcz_class,G_between_subcategory
A,UMPs only,39,0.054922856417831456,86.06750722618453,85.04765203982623,1.0198551863582992,1.1849479777288427,37.870342123752096,40.29351929495759
B,Topology only,19,0.054922856417831456,86.06750722618453,85.85627287765533,0.21123434852920298,0.2454286818997572,37.870342123752096,38.25745469181143
C,UMPs + Topology,32,0.054922856417831456,86.06750722618453,85.18617032183272,0.8813369043518122,1.024006541790118,37.870342123752096,40.04371263914003
