metric,group,G_total,G_between,G_within,G_overlap,between_share,within_share,overlap_share
utci_mean,lcz_type,0.009726667663296329,0.0005062677824709816,0.009498834895190216,-0.00027843501436486916,0.05204945825191373,0.9765764827181418,-0.02862594097005558
utci_mean,lcz,0.009726667663296329,0.004005266136389851,0.008072918701133249,-0.002351517174226771,0.4117819457843471,0.8299778485900657,-0.24175979437441283
tsd_strong,lcz_type,0.04686487004281603,0.0022512378686463386,0.04605188064889714,-0.001438248474727448,0.048036788890902585,0.9826524773636172,-0.030689266254519756
tsd_strong,lcz,0.04686487004281603,0.017963703393469976,0.04027308034316421,-0.011371913693818153,0.3833085075677843,0.8593447566667842,-0.2426532642345685
hdh,lcz_type,0.05710051797220783,0.002812936137481792,0.05584072839331915,-0.0015531465585931076,0.04926288302412448,0.9779373353582913,-0.027200218382415736
hdh,lcz,0.05710051797220783,0.023117720743537462,0.04766834142108604,-0.013685544192415668,0.40486008821827857,0.8348145185703454,-0.23967460678862396
