cumpop,L_utci_mean,L_tsd,L_hdh
0.0005700225053743448,0.0005329920044996414,0.00030760202159932956,0.0003581631873721461
0.0005764720380802611,0.000539023444990155,0.0003111247731011509,0.0003622164474526576
0.0005782570197632802,0.0005406927148874779,0.0003120997347288066,0.0003633382333757818
0.0005848229508779423,0.0005468330082371911,0.00031568606334356236,0.00036746464496123434
0.0005885818848706155,0.0005503482686007488,0.00031773920284555913,0.0003698310155946293
0.0005932084814155323,0.0005546749451223957,0.00032026626188535226,0.00037274360789281744
0.0005961304710738178,0.0005574075162312573,0.00032186226021986553,0.00037458309497397606
0.0005971241128883436,0.0005583367450213836,0.0003224049899576622,0.0003752086246626033
0.0005994966057043812,0.000560555440527955,0.00032370085169088357,0.0003767021856931388
0.0006017348413718621,0.0005626485821318066,0.0003249233818211387,0.00037811122750245696
0.0006042194660415607,0.0005649721405227583,0.0003262804902638347,0.00037967537916482817
0.0006064040020577594,0.0005670150635656943,0.0003274736895051979,0.0003810506153052877
0.0006087735365875626,0.0005692309925575134,0.00032876793541480073,0.00038254231399887235
0.0006127824866844346,0.0005729800616825589,0.00033095763436175344,0.00038506607786343466
0.0006143228658645326,0.0005744205854819132,0.0003317989934675204,0.00038603579642278727
0.000616514943593901,0.000576470561344992,0.00033299631201218926,0.0003874157803158292
0.0006183172991253151,0.0005781560788275997,0.00033398076328092696,0.00038855042146908927
0.0006207482902096772,0.0005804294804408436,0.0003353085769201221,0.0003900808090532534
0.0006251960666303543,0.0005845889288876768,0.00033773796394398085,0.00039288082829442965
0.0006272889188827717,0.0005865461115846982,0.00033888108527562876,0.00039419834653758266
0.0006312722014081787,0.0005902711770436043,0.0003410567645284347,0.00039670595183499176
0.0006325667871311371,0.0005914818409946111,0.000341763870610028,0.0003975209354561972
0.000633898881726788,0.0005927275822983233,0.0003424914641352291,0.0003983595321270077
0.0006377312620197182,0.000596311527791401,0.0003445847201970343,0.00040077213958403365
0.0006399209870673544,0.0005983593034857997,0.00034578075370083526,0.0004021506423877635
0.0006426268005231995,0.0006008897120567012,0.0003472586760325544,0.00040385403955138407
0.000643562530302715,0.0006017647829707803,0.000347769774066535,0.00040444311173923174
