lcz_id,name,n_cells,r_coast,r_mountain,r_elevation,mean_utci
1,Compact HR,1910,0.034949621514243745,0.05067713484712044,0.00614205342196783,31.874596
2,Compact MR,11977,0.31576522140777996,-0.2078604421446073,0.09582298291226721,31.439806
3,Compact LR,6232,0.2281679027375958,-0.1080394531687432,0.03670118026320779,31.325909
4,Open HR,15742,0.23839624914934854,-0.3422112942334614,0.1828906646503441,31.669388
5,Open MR,6124,0.14431126201259445,0.043860759280945155,-0.05522456561389508,31.606173
6,Open LR,27863,-0.12325987476992317,-0.10968655153156615,0.11331012275123165,31.316612
8,Large LR,70696,0.1240468091146649,-0.32612907065478947,0.18180882077869587,31.232336
9,Sparsely B,1960,-0.11131235606875833,0.009531479552379096,0.0802511163010422,29.724834
10,Heavy Ind,2001,0.14072728172004645,-0.33301919117377565,0.3024183255827211,31.258318
