feature_set,n_features,n_subcategories,G_within_lcz,G_within_sub,reduction_pp
Coast only,1,45,86.40147287847127,82.90121130335635,3.5002615751149193
Mountain only,1,45,86.40147287847127,77.16336936958422,9.23810350888705
Elevation only,1,45,86.40147287847127,80.87947021395728,5.522002664513991
Coast + Mountain,2,45,86.40147287847127,72.11056035879416,14.290912519677107
All 3 (Coast+Mountain+Elev),3,45,86.40147287847127,75.14417729489833,11.25729558357294
