cumulative_pop,cumulative_exposure
0.0,0.0
2.2589282901277563e-06,9.070938868957054e-07
7.775272272012424e-06,3.1222336617393314e-06
1.6061804285657728e-05,6.449768478135872e-06
1.8065991236091608e-05,7.254568585726671e-06
2.9661455281591537e-05,1.1910836160646928e-05
3.1674006751922794e-05,1.2718995119821858e-05
3.545763208229762e-05,1.4238345434077579e-05
3.9107513778380724e-05,1.5703989734907626e-05
4.143211613061703e-05,1.6637455658723064e-05
4.451492589919682e-05,1.7875386897072794e-05
4.808527125133475e-05,1.9309092631418016e-05
5.524354584738835e-05,2.218356507712536e-05
6.173544784850737e-05,2.4790449344003983e-05
6.394054933154113e-05,2.5675928570585116e-05
6.54090475910067e-05,2.6265617849301818e-05
7.598154899297952e-05,3.0511105159739393e-05
8.562620180272569e-05,3.438400614698474e-05
9.361061502975956e-05,3.7590222324959127e-05
9.634412738876563e-05,3.868788990539748e-05
9.755029974029706e-05,3.917223975014394e-05
9.988329457001766e-05,4.010907575217531e-05
0.00010554275643010237,4.238168585619587e-05
0.00011595566188218614,4.6563085912889996e-05
0.00011762789383929433,4.7234586372817694e-05
0.00012888643853428052,5.175556081578527e-05
0.0001393590312238156,5.596092884368699e-05
0.00014080169550265945,5.65402442446677e-05
0.00014403926312820485,5.7840319955073525e-05
0.0001461803074079004,5.870007640957126e-05
0.00015393100092992568,6.181244024323401e-05
0.00015660084697166914,6.28845420155666e-05
0.00016172442040658324,6.494196108556682e-05
0.00016388518609811986,6.580963685835374e-05
0.00016576463240742324,6.656434618904319e-05
0.000167822581537413,6.739073500515318e-05
0.00016972495865949933,6.815465241924567e-05
0.00017193656112671888,6.90427421771303e-05
0.00017402230816028429,6.988029350269763e-05
0.00017617060554827113,7.074296251100274e-05
0.0001782574786874302,7.158096603485561e-05
0.00018176486303370733,7.298938918551781e-05
0.00018373539659154918,7.378067545700016e-05
0.0001854262410195628,7.445964992956126e-05
0.00018732786679775536,7.522326563445121e-05
0.00019000989532548572,7.630025939853679e-05
0.00019303400300395567,7.751461826085345e-05
0.00019681575556611345,7.903321654742919e-05
0.0002000873601883503,8.034696013377514e-05
0.0002020601519390027,8.113915320380565e-05
0.00020680563529081462,8.30447466472126e-05
0.00020924991562031568,8.402627038766939e-05
0.00021284792285911807,8.54710840126028e-05
0.00022480005081325407,9.027057333237173e-05
0.00022757898241777645,9.138647943774924e-05
0.00022910603049602966,9.199967994651837e-05
0.0002333654065718863,9.371007244427262e-05
0.0002355107088570858,9.457153874090207e-05
0.00023982586356970854,9.630432967452128e-05
0.0002420362691921378,9.719193882813104e-05
0.00024527328520799167,9.849179303448059e-05
0.0002492802690316312,0.00010010083505108567
0.00025175992806192484,0.00010109656544137524
0.0002574561951099109,0.0001033839550145349
0.00025958855147194796,0.00010424022275403785
0.00026335227386121973,0.00010575158085522302
0.00026570441898779673,0.00010669610683895349
0.0002674782694913439,0.00010740841318133123
0.0002706654916145243,0.0001086882721820577
0.0002730129476686178,0.00010963091522465915
0.0002746218291641778,0.000110276976711312
0.00027623221256731364,0.00011092364130306856
0.0002784605362722106,0.00011181844563110792
0.0002802587040247809,0.00011254051679339224
0.0002827253225962577,0.00011353101066487477
0.0002914725040973246,0.00011704352361265685
0.00029734432606601924,0.00011940140891429322
0.0003034301564706339,0.00012184523131486961
0.0003049793204305205,0.000122467312663779
0.00030739775442604746,0.00012343845756589505
0.0003131920342719729,0.0001257652050993038
0.0003203438097043348,0.00012863706774474414
0.0003224925180038315,0.00012949990175842828
0.00032529709958904323,0.00013062610785463945
0.0003323715445960847,0.00013346691774095251
0.0003345672008359429,0.0001343486041413593
0.00034137292375930657,0.00013708150614921363
0.00034262008583430556,0.00013758231580268687
0.0003449808104291109,0.00013853028695252412
0.0003543473676914827,0.00014229151605886086
0.0003568684081115312,0.0001433038635351562
0.0003603207987140403,0.00014469020343111413
0.000362654938374436,0.00014562749915066354
0.00036579289168743557,0.00014688757379757722
0.00036765801447973597,0.0001476365313853853
0.0003695176916542476,0.00014838330223418614
0.0003718517621358701,0.00014932057017434894
0.0003783861565482443,0.0001519445176683594
0.0003811640691962503,0.00015306001460217044
0.00038270015225634553,0.00015367684319281936
0.0003885901734438005,0.00015604203656180603
0.0003950740689121699,0.00015864570573020446
0.00039595368078429623,0.00015899892214505648
0.00040482888670762023,0.00016256284450291602
0.0004097125533585251,0.00016452392674887862
0.00041768630525237054,0.00016772586176830377
0.0004192273094979382,0.0001683446665072341
0.0004212043276555196,0.00016913855673069152
0.0004236557700686104,0.00017012295647313123
0.000426518538544121,0.00017127252806204899
0.0004339325790279022,0.00017424970570395406
0.00043807148391123763,0.00017591172186202518
0.00044304958062782825,0.00017791072338842583
0.0004490888771244383,0.000180335859660864
0.0004562093197739569,0.00018319514033285226
0.00046191812482440707,0.0001854875646587479
0.00046339542660290216,0.00018608078907327645
0.00046480171832124763,0.0001866454987307181
0.00047269357607130676,0.0001898145483869709
0.0004752601733142062,0.00019084518963367726
0.0004776742482668106,0.00019181458412113642
0.0004806154597495653,0.00019299565523691025
0.00048307091661206565,0.00019398166701924276
0.0004849967084082414,0.00019475498681579377
0.0004864959973334348,0.0001953570403757394
0.0004886419648791674,0.00019621877381398884
0.0004927860222807525,0.0001978828590141924
0.000496870128993393,0.000199522870451765
0.0004985165144864918,0.00020018399202113504
0.0005019692897333826,0.00020157048637465982
0.0005090225462704643,0.00020440278783170706
0.0005168422484795223,0.00020754286275227046
0.0005186245441248454,0.00020825856032070543
0.0005208983471515618,0.0002091716272978881
0.0005238991358619143,0.00021037662220937882
0.000526228142769424,0.00021131185682376336
0.00052872266925433,0.00021231355738019392
0.0005339458986130821,0.00021441099422309177
0.0005386362251568749,0.00021629443893181178
0.0005425530087026751,0.00021786726017904495
0.0005449079160388387,0.00021881289535399736
0.0005474717788997032,0.00021984243858389667
0.0005507972134498809,0.00022117779808376262
0.0005533728190173884,0.00022221205670788584
0.0005604949984182129,0.00022507203478868494
0.0005651707417645326,0.0002269496234773901
0.0005668782138048165,0.0002276352749239436
0.0005721511202845534,0.00022975266008169542
0.0005769841121837442,0.00023169339340480788
0.0005855523646084508,0.00023513405570019713
0.0005910251160805443,0.00023733169049300177
0.0005931148498660029,0.0002381708427362639
0.0005953418573537152,0.00023906511852492143
0.0005969962471689638,0.00023972945430508454
0.0005985085146561769,0.00024033671952859657
0.0006008819106696518,0.0002412897790057011
0.0006082174134804994,0.00024423541910685267
0.0006098112566550785,0.00024487544181436827
0.000613577857765555,0.0002463879558931107
0.0006181477835959525,0.00024822305256370306
0.0006232000586824838,0.0002502518411117666
0.0006283634650469438,0.00025232525546902145
0.000630694279444956,0.0002532612158982062
0.0006377433410436485,0.00025609183283831433
0.0006418998004307866,0.00025776089817238477
0.0006462712721262676,0.0002595163037198022
0.0006530057721217153,0.00026222060549151724
0.0006553024707216516,0.0002631428664013252
0.0006573099824143277,0.0002639490015904131
0.0006597060924717606,0.00026491118210536155
0.0006625935551685941,0.00026607066989095605
0.0006639584891636072,0.00026661877196586627
0.000665691607933698,0.0002673147220978312
0.000669225375919759,0.0002687337398470323
0.0006720738134662553,0.0002698775567167058
0.0006742924341980361,0.00027076846472469065
0.0006796427922959818,0.0002729169513077132
0.0006831733647948768,0.0002743346858790079
0.000684807682623148,0.0002749909615641407
0.0006864746504917293,0.00027566034817984254
0.000690837979377479,0.0002774124839054769
0.0006958551168486414,0.0002794271626138255
0.0006981424110364826,0.00028034564709356324
0.0007005388420210061,0.00028130795647980135
0.0007084555932064492,0.00028448700232900964
0.0007102818360978291,0.0002852203473271652
0.0007124258246365144,0.0002860812860765338
0.00071639759620453,0.000287676188280928
0.0007188742410168489,0.00028867070828365876
0.0007212828211983257,0.0002896378962941255
0.0007225203423270408,0.00029013483453500176
0.0007263379841085315,0.0002916678444749287
0.000728539783475463,0.0002925519977057519
0.0007324573243467803,0.00029412512306416466
0.0007346558293997269,0.0002950079534322435
0.0007410786160848771,0.0002975870837943699
0.0007419516412795629,0.0002979376552669865
0.0007457557320836965,0.00029946522368458806
0.0007487643252519611,0.00030067335254950863
0.0007528361639153951,0.00030230843763661325
0.0007548861987076545,0.00030313164837601954
0.0007608875971998031,0.00030554156634855746
0.0007633198661697563,0.00030651826681469125
0.0007668512037962855,0.000307936308630179
0.0007690524226856917,0.0003088202287647959
0.0007794576498140926,0.0003129985455184455
0.0007817473304095382,0.000313917988282587
0.0007863180281294051,0.00031575339491265086
0.000787902719290383,0.00031638974254308386
0.0008005733463051223,0.000321477751913915
0.0008045358411556957,0.000323068928965227
0.0008079634439114745,0.00032444531506834584
0.0008104727847965956,0.00032545296448642546
0.0008130218974946774,0.00032647658464982044
0.0008155262367024827,0.00032748222559736244
0.0008179878119853516,0.0003284706942889019
0.0008206109480513107,0.00032952403923142435
0.000822353462391097,0.00033022376224271083
0.0008259065398372069,0.00033165053388708695
0.0008270710977757474,0.000332118173073157
0.0008330333384815652,0.000334512366868544
0.0008387507950397933,0.0003368082652887046
0.0008412156992260338,0.00033779807073268175
0.0008446063654582705,0.0003391596246276005
0.0008467394195896627,0.00034001617256294647
0.0008502694248746316,0.00034143367936415785
0.0008521284518727036,0.0003421801891284982
0.0008576726566952432,0.0003444065166857749
0.0008619962044054914,0.0003461426779064776
0.0008657498389171947,0.0003476499851256077
0.0008708209732816078,0.0003496863467939658
0.0008735668272897932,0.00035078897027963305
0.0008762981087633992,0.0003518857420270706
0.0008784418607678956,0.0003527465857939125
0.0008839344332588608,0.0003549521799031456
0.000889376201482965,0.00035713737308150416
0.0008919984595506598,0.00035819036545557117
0.0008940380265022391,0.00035900937273516373
0.0008956398810208735,0.00035965261247318455
0.0008975438426229435,0.0003604171661501072
0.000899161966116524,0.00036106693884793207
0.0009059565803853087,0.00036379538007112836
0.0009085799486942919,0.0003648488182730201
0.0009199155741468456,0.00036940074521868215
0.0009225655604192017,0.0003704648721139524
0.000925230184243781,0.00037153487685589835
0.0009348790023438708,0.00037540945045463133
0.0009381375126726817,0.00037671793590437694
0.0009397041550657275,0.00037734703588240376
0.0009412624879438027,0.00037797279909659176
0.000943317490214097,0.0003787980045734931
0.0009472601879722916,0.0003803812319162847
0.0009546859633605986,0.00038336312181940017
0.0009597010051830604,0.0003853769590003158
0.0009612010806917105,0.00038597932842024174
0.0009721535795343892,0.00039037740727464583
0.0009735682111959627,0.000390945465914679
0.0009753571776515576,0.0003916638422096785
0.0009838521390671286,0.00039507507381147656
0.0009924782462720088,0.00039853896823763
0.0009940230941006178,0.0003991593164034569
0.0009955387899681976,0.00039976795832532907
0.0010045617565496428,0.00040339121536428095
0.0010073868280552473,0.0004045256493806136
0.0010088317147671974,0.0004051058572204972
0.0010132863570328512,0.00040689466069209976
0.001014721758840863,0.0004074710597796569
0.0010200511417267212,0.00040961112356911663
0.0010234042007134007,0.0004109575759211058
0.0010307682124607782,0.0004139146640536807
0.0010411122678688806,0.0004180684167280825
0.0010438110077516066,0.000419152121093839
0.0010490618139539446,0.00042126063167747765
0.0010572596837471364,0.00042455256334590196
0.0010589725574532817,0.0004252403838821532
0.001061213964788711,0.0004261404420650078
0.0010642700962575444,0.00042736766038134114
0.001066267888982764,0.00042816989282769687
0.0010676490424092783,0.0004287245079677752
0.0010700469706201074,0.0004296874185793089
0.0010732157415161393,0.0004309598683163482
0.0010809030423151477,0.00043404677620624614
0.0010821861019317384,0.0004345620008549517
0.001086628860532497,0.00043634603232921927
0.0010904637291288648,0.0004378859598585774
0.0010947973202446132,0.0004396261541031581
0.0010980339758026487,0.00044092586356428274
0.0011051679124740685,0.0004437905628875977
0.001117166053154775,0.0004486085290502013
0.0011191541911499702,0.0004494068845489695
0.0011249538092045366,0.0004517357756902326
0.0011343649550470051,0.0004555149097600018
0.0011352911973783375,0.0004558868510740344
0.0011391429084052712,0.00045743354183969067
0.0011410396885484936,0.0004581952117343135
0.001143050729138814,0.00045900276398541917
0.001145894359800856,0.0004601446506054595
0.001148785223700681,0.0004613055041760837
0.0011505985310717216,0.0004620336547944642
0.0011540003998440152,0.00046339970717463707
0.0011553549267248277,0.0004639436301750221
0.0011731440017035712,0.0004710870004348346
0.0011743835867523767,0.00047158476746222224
0.001182903181532756,0.00047500589082319155
0.001187407444224009,0.00047681461984308316
0.0011950923248062384,0.0004799005558721854
0.0011985021444561783,0.0004812698010020087
0.0012034103128761799,0.00048324072216364774
0.0012061904358640105,0.00048435710668019065
0.0012083048192686882,0.00048520615720973553
0.0012130672841888241,0.0004871185697615152
0.0012195029178402826,0.0004897028589437132
0.001221467771586782,0.0004904918644335657
0.0012263886938678257,0.0004924679070279816
0.0012302090952581975,0.0004940020251147926
0.0012323365502001258,0.0004948563246429818
0.001234529144629094,0.0004957367815444472
0.0012376035889675294,0.0004969713535656945
0.0012407100219868003,0.0004982187709423977
0.0012451966066407273,0.0005000204011802426
0.0012465660867994424,0.0005005703288099174
0.0012517094136348785,0.0005026356800435622
0.0012530755646301514,0.0005031842708163656
0.0012543498153962656,0.0005036959581883667
0.001257737559735582,0.00050505633876972
0.001263614714711506,0.0005074163655905351
0.0012659920710797108,0.0005083710153853053
0.0012710273562756595,0.000510392981483115
0.0012750486161534219,0.0005120077561834358
0.001279834693921426,0.0005139296506962176
0.0012983752563529025,0.0005213747878060146
0.0013002201355116455,0.0005221156163724948
0.001307588306827814,0.0005250743748190141
0.0013091555815824651,0.0005257037287277872
0.001311391758378472,0.000526601686538374
0.0013129509637933294,0.0005272278001279081
0.001314807051733823,0.0005279731296860532
0.0013211460639649232,0.0005305186196287476
