lcz_id,name,n_cells,patch_h,patch_w,n_h0,n_h1,max_lifetime_h0,max_lifetime_h1,total_lifetime_h0,total_lifetime_h1,persistence_entropy,n_significant,n_h0_per_1k,n_h1_per_1k,total_life_h0_per_1k,total_life_h1_per_1k,n_sig_per_1k,area_km2
1,Compact HR,2040,425,683,66,1,2.292491912841797,1.02618408203125,77.66496086120605,1.02618408203125,4.16582960556093,67,32.352941176470594,0.49019607843137253,38.07105924568924,0.5030314127604167,32.84313725490196,20.4
2,Compact MR,11715,493,868,165,18,2.316385269165039,2.292491912841797,234.7576141357422,28.648387908935547,5.139945915434041,183,14.084507042253522,1.5364916773367479,20.039062239499973,2.445444977288566,15.620998719590268,117.15
3,Compact LR,6731,509,894,262,6,2.316381454467773,2.284067153930664,401.2958450317383,8.620506286621094,5.524771406965946,268,38.92437973555192,0.8913980092111127,59.61905289433046,1.2807170237143208,39.81577774476304,67.31
4,Open HR,18733,524,1036,302,52,2.316381454467773,1.3150596618652344,443.986608505249,53.7789478302002,5.795036539357226,353,16.121283296855815,2.7758501040943786,23.70077448915011,2.870813421779758,18.84375166817915,187.33
5,Open MR,7282,524,869,479,9,2.316381454467773,2.284067153930664,618.0226020812988,10.651498794555664,6.134267816502007,488,65.77863224388904,1.2359241966492722,84.86989866538022,1.4627161211968778,67.01455644053831,72.82
6,Open LR,69173,524,1044,777,297,2.316381454467773,2.316381454467773,1102.561237335205,440.7275104522705,6.912265127478486,1070,11.232706402787215,4.293582756277738,15.939184903578058,6.371380603013756,15.468463128677374,691.73
8,Large LR,83055,524,1046,337,286,2.316381454467773,2.316381454467773,490.5370178222656,492.8918514251709,6.365496577914552,622,4.057552224429594,3.4435012943230388,5.9061708244207525,5.934523525677815,7.489013304436819,830.55
9,Sparsely B,11451,524,1036,509,35,2.316381454467773,2.316381454467773,868.5169582366943,71.74639511108398,6.24562544458678,544,44.45026635228364,3.056501615579425,75.84638531453099,6.265513501972228,47.50676796786306,114.51
10,Heavy Ind,2575,432,935,62,3,2.316381454467773,2.316381454467773,94.79067611694336,4.342565536499023,4.097501697662842,65,24.07766990291262,1.1650485436893205,36.81191305512364,1.6864332180578732,25.24271844660194,25.75
