lcz_id,name,n_cells,patch_h,patch_w,n_h0,n_h1,max_lifetime_h0,max_lifetime_h1,total_lifetime_h0,total_lifetime_h1,persistence_entropy,n_significant
1,Compact HR,2040,425,683,66,1,2.292491912841797,1.02618408203125,77.66496086120605,1.02618408203125,4.16582960556093,67
2,Compact MR,11715,493,868,165,18,2.316385269165039,2.292491912841797,234.7576141357422,28.648387908935547,5.139945915434041,183
3,Compact LR,6731,509,894,262,6,2.3163814544677734,2.284067153930664,401.2958450317383,8.620506286621094,5.524771406965946,268
4,Open HR,18733,524,1036,302,52,2.3163814544677734,1.3150596618652344,443.986608505249,53.778947830200195,5.795036539357226,353
5,Open MR,7282,524,869,479,9,2.3163814544677734,2.284067153930664,618.0226020812988,10.651498794555664,6.134267816502007,488
6,Open LR,69173,524,1044,777,297,2.3163814544677734,2.3163814544677734,1102.561237335205,440.7275104522705,6.912265127478486,1070
8,Large LR,83055,524,1046,337,286,2.3163814544677734,2.3163814544677734,490.5370178222656,492.8918514251709,6.365496577914552,622
9,Sparsely B,11451,524,1036,509,35,2.3163814544677734,2.3163814544677734,868.5169582366943,71.74639511108398,6.24562544458678,544
10,Heavy Ind,2575,432,935,62,3,2.3163814544677734,2.3163814544677734,94.79067611694336,4.342565536499023,4.0975016976628424,65
